RespondentID,FamiliarWithABTs,UsageOfABTs,PerceivedImpact,DataProtectionConcerns,BiasConcerns,TrainingNeeds,AutomationEfficiency,PersonalizedLearning,ImpactOnTeaching,ImpactOnLearning,ImpactOnExams,PositiveExperiences,NegativeExperiences,FutureExpectations,TechnicalSkills,TrainingReceived,TrainingNeeded,TrustInABTs,AIInCourseDesign,AIInGrading,AIInAdministration,ImpactOnStudentEngagement,ImpactOnLearningOutcomes,Gender,Age,Country,Role
1,No,Yes,Moderate,High,Low,Moderate,Moderate,High,High,Low,High,Positive,None,Moderate,Moderate,No,No,Low,Yes,Yes,Yes,Low,Low,Female,39,China,Student
2,Yes,Yes,Low,Low,High,Moderate,Low,Low,High,Low,Moderate,None,None,Moderate,Moderate,Yes,No,Moderate,Yes,No,No,Moderate,Moderate,Male,53,Australia,Other
3,Yes,No,Low,Low,Low,Moderate,High,Low,High,Low,High,None,Negative,Low,Low,Yes,Yes,High,No,No,Yes,Low,Moderate,Female,29,UK,Student
4,Yes,No,Moderate,Low,Low,High,Moderate,High,Moderate,High,Low,None,Negative,High,High,Yes,Yes,High,Yes,Yes,No,Moderate,High,Female,53,UK,Teacher
5,No,No,Moderate,High,Moderate,Moderate,High,High,High,Low,High,Positive,Negative,Low,High,Yes,Yes,High,No,No,Yes,Moderate,High,Female,33,India,Student
6,No,No,Low,High,High,Low,High,High,Low,Low,High,Positive,None,High,High,No,Yes,Moderate,No,Yes,No,Low,Low,Male,53,UK,Teacher
7,Yes,No,Low,Moderate,Low,Low,Moderate,High,Low,Moderate,High,Positive,Negative,Moderate,High,Yes,Yes,High,Yes,Yes,No,Low,Low,Female,56,India,Other
8,No,No,Low,High,Low,High,Low,High,Moderate,High,Low,Positive,None,Low,Low,No,Yes,High,No,No,Yes,Low,Moderate,Male,29,Australia,Teacher
9,No,No,High,High,High,Low,Moderate,Moderate,High,High,High,None,None,High,Low,Yes,No,High,Yes,No,Yes,High,Low,Male,51,China,Other
10,No,Yes,Moderate,High,High,High,Low,Moderate,Low,High,Low,None,Negative,Moderate,Low,No,Yes,Moderate,No,No,No,High,Low,Other,54,UK,Student
11,Yes,No,Low,Moderate,Moderate,Moderate,Moderate,High,Low,Low,High,None,Negative,High,Low,Yes,Yes,Moderate,No,Yes,Yes,High,Moderate,Female,35,USA,Student
12,Yes,Yes,High,Low,Low,Low,Low,Moderate,High,Moderate,Low,None,None,Low,High,Yes,Yes,Low,Yes,Yes,Yes,Low,Low,Other,57,India,Teacher
13,Yes,Yes,Low,Low,High,Low,Low,High,High,Moderate,High,None,None,Low,Low,No,No,High,No,No,Yes,High,Moderate,Other,54,Australia,Student
14,No,No,Low,Low,Low,High,High,Moderate,Low,High,High,None,Negative,High,Low,Yes,No,High,Yes,Yes,Yes,High,Moderate,Female,59,Germany,Student
15,No,No,High,Moderate,High,High,Moderate,High,Low,High,Low,None,None,Low,Moderate,Yes,No,Low,Yes,No,Yes,Low,High,Male,22,UK,Student
16,No,Yes,High,Low,Low,Low,Moderate,Moderate,Moderate,Low,Low,None,Negative,High,Moderate,Yes,No,Low,Yes,Yes,No,High,Low,Other,42,India,Teacher
17,Yes,Yes,Low,Low,High,High,Moderate,Moderate,Low,High,Low,Positive,Negative,High,Moderate,No,Yes,Low,Yes,No,No,Low,Low,Female,27,UK,Other
18,No,No,Low,Moderate,Moderate,Moderate,Moderate,High,Low,Moderate,Moderate,Positive,Negative,High,Moderate,No,No,Low,Yes,Yes,Yes,Low,High,Other,41,Australia,Teacher
19,No,No,High,High,High,High,High,Moderate,High,Moderate,Moderate,None,None,Low,High,No,No,Moderate,Yes,Yes,Yes,High,High,Male,39,USA,Teacher
20,Yes,No,Low,Low,Moderate,Low,Low,Low,Low,High,Moderate,None,None,Low,High,Yes,Yes,Low,Yes,No,Yes,Low,Low,Female,47,Australia,Other
21,No,No,Low,Moderate,High,High,High,Low,Moderate,High,Low,None,None,Moderate,Low,No,Yes,High,No,No,Yes,High,High,Female,20,USA,Teacher
22,No,No,High,Low,Moderate,High,Low,Moderate,Low,Low,Moderate,Positive,Negative,Low,Low,Yes,Yes,High,Yes,No,Yes,Moderate,High,Female,30,USA,Teacher
23,Yes,No,High,High,Moderate,Moderate,Low,Moderate,High,Low,Moderate,Positive,Negative,Low,Moderate,Yes,No,High,No,No,No,Low,Low,Other,29,UK,Other
24,Yes,No,High,High,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,Positive,Negative,Moderate,Low,No,Yes,High,No,No,No,Moderate,Low,Female,20,Australia,Student
25,No,Yes,Low,Low,Moderate,Moderate,High,Moderate,Moderate,Low,High,Positive,None,High,Low,Yes,No,Moderate,Yes,No,No,High,High,Male,38,India,Teacher
26,Yes,No,High,High,High,High,Moderate,Moderate,High,Low,Moderate,None,Negative,High,Moderate,No,No,Low,No,Yes,No,Low,Low,Other,22,Australia,Student
27,Yes,No,High,Low,High,High,Moderate,Moderate,High,High,Low,None,None,High,Moderate,No,Yes,Low,Yes,Yes,Yes,Moderate,Moderate,Other,39,USA,Teacher
28,Yes,No,High,Moderate,Low,Moderate,High,High,High,High,High,None,Negative,Low,High,No,No,Low,No,No,Yes,High,Low,Male,23,Germany,Student
29,Yes,No,High,High,Moderate,Low,Moderate,Low,High,Moderate,High,Positive,Negative,High,Low,No,No,Moderate,Yes,Yes,Yes,Moderate,Low,Female,39,Australia,Student
30,Yes,No,Low,Low,Low,High,Low,Moderate,Moderate,High,Moderate,None,Negative,Moderate,Low,Yes,Yes,High,No,No,No,High,Moderate,Other,23,Germany,Student
31,Yes,No,Moderate,High,High,Moderate,Low,Low,Low,Moderate,High,Positive,None,Moderate,High,Yes,Yes,High,Yes,No,Yes,Low,Moderate,Male,32,India,Teacher
32,Yes,Yes,High,High,High,Moderate,High,Low,Low,High,Low,None,None,Moderate,High,No,No,Low,Yes,No,No,Low,Low,Female,30,Germany,Teacher
33,No,No,High,Low,Moderate,Low,Low,Moderate,Moderate,High,Low,None,None,Low,Low,No,No,High,No,Yes,No,Moderate,Low,Male,33,China,Student
34,Yes,Yes,Low,Low,Low,Moderate,High,Moderate,Low,Low,Low,Positive,None,Low,Moderate,Yes,Yes,Moderate,No,No,No,High,Moderate,Other,47,India,Student
35,Yes,Yes,High,Low,High,Low,Moderate,High,Low,Low,Low,None,Negative,High,High,Yes,No,High,No,Yes,Yes,Moderate,High,Male,25,Germany,Teacher
36,No,No,High,Moderate,Low,Low,High,Low,High,Moderate,Moderate,None,Negative,High,Low,No,Yes,Low,No,Yes,Yes,High,Moderate,Male,52,USA,Teacher
37,No,Yes,High,Moderate,High,Low,High,Low,Low,Moderate,Low,Positive,None,Moderate,Moderate,No,No,Low,Yes,Yes,Yes,Low,Low,Female,48,Germany,Student
38,No,No,Moderate,Moderate,Moderate,Low,Low,Moderate,High,High,Moderate,Positive,None,Low,Low,Yes,No,Moderate,No,Yes,No,High,High,Other,52,USA,Teacher
39,No,Yes,High,High,Low,Low,High,High,Low,Low,Moderate,None,None,High,Low,No,Yes,High,No,Yes,No,Low,High,Other,54,USA,Teacher
40,Yes,No,High,Low,High,Moderate,Moderate,Moderate,High,Low,Low,None,None,Low,High,No,No,Moderate,Yes,Yes,Yes,Low,Low,Male,31,USA,Teacher
41,Yes,No,Moderate,High,High,Moderate,Low,Low,High,Low,Low,Positive,Negative,Low,Moderate,No,No,High,Yes,Yes,Yes,High,Moderate,Male,53,Germany,Student
42,No,No,Moderate,Low,High,High,Low,Moderate,Low,Moderate,High,None,Negative,High,Moderate,No,Yes,Low,Yes,Yes,Yes,High,Moderate,Female,49,Australia,Teacher
43,Yes,Yes,High,Low,Moderate,High,Low,High,High,Low,Low,None,None,High,Moderate,No,No,High,Yes,Yes,Yes,Moderate,Low,Other,20,Germany,Teacher
44,No,Yes,Low,Moderate,Moderate,Low,Moderate,High,Low,High,Low,Positive,Negative,Low,Low,No,Yes,High,Yes,No,Yes,High,Moderate,Female,47,Germany,Student
45,Yes,Yes,High,Moderate,Low,Moderate,Low,High,Low,High,Moderate,Positive,None,High,High,Yes,Yes,High,No,Yes,Yes,Low,High,Male,20,India,Other
46,No,No,High,Low,High,Low,Low,Low,Moderate,High,High,None,Negative,Low,Moderate,Yes,No,High,Yes,No,Yes,High,High,Male,52,UK,Teacher
47,Yes,No,Moderate,High,Low,High,High,Moderate,High,High,High,None,None,Moderate,High,No,Yes,Low,No,Yes,Yes,High,Moderate,Other,35,Australia,Student
48,Yes,Yes,Low,Moderate,High,Low,Low,Moderate,Low,High,Low,None,Negative,Moderate,Moderate,No,Yes,High,No,No,Yes,Low,Moderate,Male,26,India,Teacher
49,Yes,Yes,Moderate,High,High,High,Moderate,Moderate,Low,High,Moderate,None,None,Low,High,Yes,Yes,Moderate,Yes,No,Yes,Low,High,Other,20,USA,Other
50,No,No,Low,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,None,None,Low,High,No,No,Moderate,Yes,No,No,Low,Moderate,Male,49,India,Student
51,Yes,Yes,High,High,Moderate,Moderate,Low,Moderate,Low,Low,High,None,Negative,High,High,Yes,No,Low,No,Yes,No,Low,Low,Female,33,China,Other
52,No,No,High,Moderate,Low,Moderate,High,Moderate,Low,High,Moderate,Positive,None,Moderate,High,No,Yes,Low,No,Yes,No,High,Low,Female,49,China,Teacher
53,No,No,Low,Moderate,Low,Moderate,Moderate,Low,Low,Low,High,Positive,Negative,Moderate,Moderate,Yes,No,Moderate,Yes,No,No,High,Moderate,Female,34,UK,Student
54,Yes,Yes,High,High,Moderate,High,Low,Moderate,Moderate,High,High,None,Negative,High,Moderate,No,Yes,High,No,Yes,Yes,Moderate,Low,Other,35,USA,Teacher
55,No,No,High,Moderate,Low,Low,Low,Moderate,Low,Low,High,Positive,None,Low,Moderate,Yes,No,High,No,No,Yes,Low,Low,Female,49,Australia,Teacher
56,Yes,No,High,Moderate,Low,Low,High,High,High,Low,Low,Positive,Negative,Low,Moderate,No,No,Moderate,No,Yes,Yes,Low,High,Male,41,Germany,Student
57,No,No,Low,High,Moderate,Low,Moderate,Low,Moderate,Moderate,High,Positive,Negative,Moderate,High,Yes,Yes,Low,Yes,Yes,Yes,High,Low,Male,38,UK,Other
58,Yes,No,High,Moderate,Moderate,Moderate,High,High,Low,Moderate,High,None,Negative,Low,Moderate,No,Yes,High,Yes,No,Yes,High,Moderate,Female,44,Germany,Other
59,No,No,Low,Moderate,Moderate,Low,Low,High,Moderate,High,Moderate,None,None,Moderate,Moderate,Yes,Yes,Moderate,Yes,Yes,Yes,Moderate,High,Other,38,Australia,Teacher
60,Yes,Yes,High,High,Low,Low,Moderate,Moderate,High,High,High,None,None,Low,Low,Yes,No,Low,Yes,No,Yes,Moderate,Moderate,Female,25,China,Other
61,No,No,Low,Low,Moderate,High,Moderate,Low,Low,Low,Moderate,None,Negative,Moderate,Moderate,No,No,Low,Yes,Yes,Yes,Moderate,Moderate,Other,33,Germany,Student
62,No,No,Moderate,Low,Low,Moderate,Moderate,Low,Low,Moderate,Low,Positive,Negative,Low,Moderate,No,Yes,High,No,No,Yes,Moderate,Moderate,Male,55,Australia,Other
63,Yes,No,Low,High,Low,Low,High,Moderate,Moderate,Low,Low,Positive,Negative,Low,High,Yes,Yes,Low,No,No,Yes,Low,Moderate,Other,24,China,Student
64,Yes,Yes,Low,Low,High,Moderate,High,Low,High,High,Moderate,None,Negative,High,Low,No,Yes,High,Yes,Yes,No,Low,Moderate,Male,31,USA,Teacher
65,No,No,High,Low,Moderate,Moderate,High,High,High,High,Low,Positive,Negative,Moderate,High,No,Yes,Moderate,No,Yes,Yes,High,Low,Male,24,Australia,Teacher
66,No,Yes,Moderate,Moderate,Low,Low,Moderate,Moderate,Low,Moderate,High,Positive,Negative,High,Low,No,Yes,Low,Yes,No,No,Low,High,Male,37,Germany,Student
67,Yes,Yes,High,Moderate,Moderate,Moderate,High,Low,High,Moderate,High,Positive,None,Low,Low,Yes,Yes,Moderate,No,No,No,Low,Low,Other,36,Australia,Student
68,No,Yes,High,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,Positive,Negative,Moderate,Low,No,Yes,Low,Yes,Yes,Yes,Low,High,Male,54,Australia,Student
69,Yes,No,Low,Moderate,Low,High,Moderate,Moderate,Moderate,Moderate,High,Positive,None,High,Moderate,Yes,Yes,High,No,No,No,Low,High,Other,38,USA,Student
70,Yes,Yes,High,Moderate,Low,High,Low,Low,Moderate,Low,Low,None,None,Low,High,No,Yes,Moderate,No,No,Yes,High,Low,Female,53,USA,Student
71,Yes,No,Moderate,High,High,Moderate,High,Moderate,Moderate,High,Low,None,Negative,High,Moderate,Yes,Yes,Low,No,No,No,Moderate,Moderate,Male,31,Germany,Teacher
72,Yes,No,Low,Moderate,High,High,Moderate,Low,Low,Low,Low,None,None,High,High,Yes,Yes,Low,No,No,Yes,High,Moderate,Female,26,Germany,Other
73,No,No,Moderate,Low,High,Moderate,Low,Moderate,Low,High,Moderate,None,None,Moderate,Low,Yes,Yes,High,Yes,No,Yes,Moderate,Low,Male,36,UK,Student
74,No,Yes,Moderate,Moderate,Moderate,High,High,Low,Low,Low,High,Positive,None,Low,Moderate,Yes,Yes,High,No,Yes,No,High,Low,Other,47,USA,Student
75,No,Yes,Low,Moderate,Low,Low,High,High,Low,Moderate,Low,None,Negative,High,High,No,No,Moderate,Yes,Yes,Yes,Moderate,Moderate,Male,45,China,Other
76,No,Yes,Moderate,Low,Moderate,Moderate,Low,Moderate,Moderate,Moderate,Low,None,None,Low,Moderate,No,Yes,High,No,No,Yes,Low,High,Female,44,Australia,Student
77,No,No,Low,High,Low,Moderate,Low,High,Moderate,Moderate,High,Positive,Negative,High,Moderate,Yes,No,Moderate,Yes,No,No,High,Moderate,Female,29,Germany,Other
78,No,No,High,Moderate,Moderate,High,Low,Low,High,Low,Low,Positive,None,High,Moderate,No,No,Low,No,Yes,No,Low,High,Female,33,China,Teacher
79,Yes,Yes,High,Low,High,Low,Moderate,High,High,Low,Moderate,None,Negative,Low,High,Yes,No,Low,Yes,Yes,No,High,Moderate,Female,48,UK,Teacher
80,Yes,No,Moderate,Low,Low,High,Moderate,High,Moderate,Moderate,High,Positive,None,Moderate,Low,Yes,Yes,Low,No,No,No,Low,Low,Female,47,China,Teacher
81,Yes,Yes,Moderate,High,Low,Moderate,Low,Moderate,Moderate,High,Moderate,None,Negative,High,High,No,No,Moderate,No,No,No,High,High,Male,33,USA,Teacher
82,Yes,Yes,Moderate,Low,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,None,Negative,Low,Low,Yes,Yes,Low,No,No,Yes,Moderate,Moderate,Male,22,China,Teacher
83,No,Yes,Low,Moderate,Moderate,High,High,Low,High,Low,Low,None,Negative,Low,Low,Yes,Yes,High,Yes,No,No,Low,Moderate,Other,43,China,Teacher
84,Yes,Yes,Moderate,High,High,Low,High,High,High,Moderate,High,Positive,Negative,Low,High,No,No,Low,Yes,Yes,Yes,Low,Low,Other,26,USA,Student
85,Yes,No,Moderate,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,None,None,Low,Low,Yes,Yes,High,Yes,No,No,High,High,Other,31,China,Other
86,Yes,No,Moderate,High,Low,High,Low,Moderate,Low,High,Moderate,Positive,None,High,Moderate,No,Yes,Low,No,Yes,No,Low,Moderate,Male,23,USA,Other
87,No,Yes,High,High,Low,Low,High,High,Low,Low,Moderate,Positive,Negative,High,High,No,Yes,Moderate,Yes,Yes,No,Moderate,High,Female,32,UK,Other
88,Yes,Yes,Low,High,Moderate,High,Moderate,Moderate,Low,Low,Low,None,Negative,Moderate,Moderate,Yes,No,Low,No,No,No,High,Low,Female,35,USA,Student
89,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,High,Moderate,Positive,Negative,Moderate,Low,Yes,Yes,High,No,Yes,No,Moderate,Low,Female,40,Australia,Teacher
90,Yes,No,Low,High,High,High,High,Low,Moderate,High,Low,Positive,Negative,Low,High,No,Yes,High,No,Yes,Yes,Low,Low,Male,47,India,Teacher
91,No,Yes,Moderate,High,High,Low,High,Low,Low,Moderate,High,Positive,Negative,Low,Low,Yes,No,High,Yes,No,No,Moderate,Moderate,Other,40,UK,Other
92,Yes,Yes,Low,Low,Low,High,Low,High,High,Low,Low,None,Negative,Moderate,Moderate,Yes,No,High,No,No,No,Low,Moderate,Male,47,China,Student
93,Yes,No,Moderate,Moderate,High,Low,High,High,Moderate,Low,High,Positive,Negative,High,Moderate,Yes,Yes,Moderate,No,Yes,Yes,High,Moderate,Female,28,Australia,Other
94,Yes,No,Low,Low,Moderate,Low,Low,Moderate,Moderate,High,High,Positive,Negative,High,Low,No,No,Moderate,No,Yes,No,Low,High,Female,35,UK,Student
95,Yes,Yes,Moderate,Low,Moderate,Moderate,Low,High,Low,High,Moderate,Positive,None,Moderate,Low,Yes,Yes,Low,Yes,Yes,No,Low,Low,Female,24,USA,Student
96,No,No,High,Low,High,Moderate,High,High,High,Moderate,Moderate,Positive,None,Moderate,Moderate,Yes,Yes,High,No,No,No,High,High,Female,41,China,Student
97,Yes,Yes,Low,High,Moderate,Moderate,Moderate,High,Moderate,Moderate,Low,None,None,Low,High,Yes,Yes,Low,Yes,Yes,No,High,Moderate,Other,46,China,Student
98,Yes,No,Low,Low,Low,Low,Low,High,High,Low,Low,Positive,Negative,Moderate,Moderate,Yes,No,Low,No,No,No,High,Low,Female,33,India,Student
99,No,No,Moderate,Moderate,Moderate,Low,High,Moderate,Moderate,Low,High,Positive,Negative,High,Moderate,No,No,High,Yes,No,Yes,Low,High,Other,38,USA,Student
100,Yes,Yes,Low,Moderate,High,High,High,High,High,Low,Low,Positive,Negative,Low,High,Yes,No,Moderate,Yes,No,Yes,Low,High,Female,20,China,Other
